-1294.7 363.841 3267.54, -1296.86 245.341 3262.55, -1270.26 248.356 3164.03, -1323.46 242.326 3361.07, -1310.48 52.8648 3162.41, -1244.75 91.1181 3285.38, -1253.41 -198.421 3106.34, -1263.12 181.822 3119.06, -1303.24 117.666 3256.92, -1301.37 -9.07501 3220.75, -1317.86 -10.9442 3281.83, -1280.19 -275.638 3214.07, -1297.45 -210.731 3258.69, -1198.12 -395.065 3055.9, -1191.77 -360.39 3024.21
-1164.4 368.999 3321.85, -1217.83 163.875 3315.85, -1137.32 180.153 3196.51, -1298.33 147.597 3435.19, -1235.04 -11.5061 3302.06, -1217.58 321.946 3358.59, -1335.42 -230.212 3226.41, -1064.39 458.75 3416.44, -1204.77 25.9861 3305.85, -1149.24 -103.315 3232.89, -1234.19 -120.491 3358.81, -1098.36 9.174 3006.06, -1079.65 -196.339 3217.06, -1028.75 -270.931 2983.76, -1089.43 -455.312 3207.34
-1163.97 358.417 3305.13, -1213.27 162.611 3316.46, -1122.29 191.911 3207.88, -1304.24 133.311 3425.05, -1216.18 4.6532 3310.15, -1235.25 306.021 3362.75, -1317.55 -213.871 3236.39, -1023.46 373.958 3279.45, -1198.41 37.1897 3295.07, -1120.6 -67.959 3198.55, -1246.49 -108.504 3348.81, -1070.22 49.288 2982.14, -1172.29 -242.161 3417.38, -1006.74 -223.222 2978.86, -1097.07 -483.994 3230.91
-1162.75 353.891 3298.41, -1212.88 175.514 3319.18, -1175.18 201.267 3188.61, -1250.58 149.76 3449.76, -1248.77 2.11888 3283.46, -1188.3 324.925 3406.16, -1365.1 -231.706 3227.81, -1008.79 366.604 3272.36, -1189.45 45.719 3300.35, -1146.93 -71.0329 3215.39, -1185.11 -97.1181 3347.64, -1220.01 99.5249 3099.48, -1119.85 -181.839 3313.91, -1246.41 -133.505 3121.75, -1048.23 -438.475 3209.67
-1161.98 375.04 3307.53, -1191.44 248.941 3365.41, -1147.2 266.576 3266.89, -1235.67 231.306 3463.93, -1252.38 -57.7101 3273.89, -1170.32 394.957 3405.18, -1331.01 -231.02 3264.3, -999.836 423.905 3251.52, -1174.65 108.427 3347.8, -1130.49 -21.1775 3269.23, -1185.22 -42.9976 3391.14, -1201.14 91.4582 3162.48, -1123.33 -160.459 3225.68, -1220.83 -139.791 3191.81, -1057.16 -427.694 3162.96
-1182.68 380.947 3308.69, -1187.12 261.793 3351.41, -1145.34 274.434 3253.28, -1228.9 249.152 3449.53, -1238.58 -57.3215 3269.79, -1182.78 381.446 3427.13, -1346.93 -281.847 3257.51, -982.367 420.699 3234.96, -1170.61 125.588 3340.89, -1133.27 -4.31296 3281.43, -1174.94 -16.9224 3379.31, -1195.46 37.132 3193.21, -1095.72 -133.331 3186.99, -1016.53 -331.242 3097.22, -1040.38 -401.111 3146.52
-1173.29 372.398 3301.55, -1141.41 288.822 3323.4, -1064.24 295.928 3191.16, -1218.57 281.715 3455.63, -1195.46 -24.9929 3257.86, -1160.74 401.772 3401.98, -1040.32 333.416 3201.91, -1022.99 442.894 3363.7, -1137.28 166.273 3319.22, -1101.08 46.6791 3260.06, -1165.24 40.7696 3370.02, -994.74 -160.284 3223.61, -1121.21 -198.561 3533.93, -1013.3 -380.366 3141.26, -1029.45 -351.619 3132.6
-1166.95 369.427 3296.73, -1133.88 293.934 3328.05, -1062.53 307.116 3198.67, -1205.22 280.753 3457.43, -1157.12 28.4683 3241.43, -1142.51 389.301 3383.6, -966.635 348.887 3180.89, -1008.24 423.966 3338.27, -1121.74 169.797 3322.1, -1078.34 51.4364 3259.44, -1140.88 39.883 3372.84, -991.452 -150.624 3221.37, -1123.31 -215.978 3531.81, -1039.25 -349.991 3239.39, -1029.74 -364.868 3129.92
-1143.02 388.912 3326.68, -1117.47 290.623 3317.99, -1046.5 326.224 3193.38, -1188.44 255.023 3442.6, -1154.31 63.5685 3285.36, -1119.71 359.487 3354.15, -1019.34 348.114 3196.66, -997.745 391.997 3310.38, -1095.3 154.753 3291.8, -1063.01 23.9646 3247.82, -1083.27 13.801 3283.39, -986.619 -167.408 3175.73, -1118.64 -192.799 3532.79, -1043.73 -368.586 3235.93, -1028.84 -338.313 3133.62
-1119.68 388.372 3316.88, -1115.93 282.152 3330.65, -1064.82 306.533 3228.78, -1167.04 257.771 3432.53, -1149.02 81.1588 3318.54, -1100.59 337.136 3330.83, -1155.28 316.278 3179.85, -990.247 384.781 3220.79, -1094.94 153.739 3310.45, -1060.74 31.6247 3263.93, -1087.15 19.0273 3316.57, -990.616 -155.117 3196.81, -1110.35 -201.114 3519.73, -1060.34 -362.191 3261.72, -1024.65 -341.12 3117.81
-1116.53 406.67 3333.75, -1054.98 286.784 3308.36, -1108.23 313.204 3407.68, -1001.73 260.364 3209.05, -1125.2 133.297 3355.56, -1093.38 283.212 3297.9, -996.856 213.499 3259.66, -981.902 326.979 3181.13, -1073.55 145.917 3335.88, -1117.43 17.6106 3410.61, -1066.81 -7.51025 3316.18, -1005.02 -129.461 3196.41, -1094.19 -222.979 3522.32, -1047.45 -356.079 3213.65, -1011.91 -368.818 3126.25
